frequency,raw
20.0,0.3600000000000012
21.2,0.15000000000000036
22.4,-0.09999999999999964
23.6,-0.33000000000000007
25.0,-0.5500000000000007
26.5,-0.7700000000000014
28.0,-1.0500000000000007
30.0,-1.3600000000000012
31.5,-1.58
33.5,-1.7799999999999994
35.5,-1.9700000000000006
37.5,-2.2200000000000006
40.0,-2.460000000000001
42.5,-2.709999999999999
45.0,-2.91
47.5,-3.08
50.0,-3.2699999999999996
53.0,-3.4499999999999993
56.0,-3.629999999999999
60.0,-3.8499999999999996
63.0,-4.0
67.0,-4.130000000000001
71.0,-4.25
75.0,-4.37
80.0,-4.559999999999999
85.0,-4.709999999999999
90.0,-4.789999999999999
95.0,-4.849999999999999
100.0,-4.8999999999999995
106.0,-4.8999999999999995
112.0,-4.869999999999999
118.0,-4.9
125.0,-4.989999999999998
132.0,-5.0699999999999985
140.0,-5.119999999999999
150.0,-5.119999999999999
160.0,-5.129999999999999
170.0,-5.04
180.0,-4.98
190.0,-5.0
200.0,-4.960000000000001
212.0,-4.840000000000001
224.0,-4.7
236.0,-4.590000000000001
250.0,-4.550000000000001
265.0,-4.48
280.0,-4.37
300.0,-4.21
315.0,-4.07
335.0,-3.85
355.0,-3.61
375.0,-3.37
400.0,-3.1100000000000003
425.0,-2.8499999999999996
450.0,-2.83
475.0,-2.8899999999999997
500.0,-2.7800000000000002
530.0,-2.46
560.0,-2.01
600.0,-1.56
630.0,-1.36
670.0,-1.21
710.0,-1.1
750.0,-1.08
800.0,-0.8400000000000001
850.0,-0.5700000000000001
900.0,-0.34
950.0,-0.13999999999999999
1000.0,0.0
1060.0,0.19
1120.0,0.40999999999999986
1180.0,0.6399999999999999
1250.0,0.8599999999999999
1320.0,0.9600000000000002
1400.0,1.0900000000000003
1500.0,1.33
1600.0,1.4500000000000006
1700.0,1.33
1800.0,1.3399999999999999
1900.0,1.3800000000000003
2000.0,1.4299999999999997
2120.0,1.3499999999999996
2240.0,1.2800000000000002
2360.0,1.5599999999999987
2500.0,1.8999999999999995
2650.0,1.9100000000000001
2800.0,1.75
3000.0,1.7599999999999998
3150.0,1.7399999999999984
3350.0,1.9699999999999989
3550.0,2.0199999999999996
3750.0,2.0600000000000005
4000.0,1.9699999999999989
4250.0,1.2799999999999994
4500.0,0.5400000000000009
4750.0,-0.13000000000000078
5000.0,-1.3099999999999987
5300.0,-2.7799999999999994
5600.0,-4.209999999999999
6000.0,-4.449999999999999
6300.0,-3.259999999999999
6700.0,-1.0300000000000002
7100.0,1.1700000000000008
7500.0,3.07
8000.0,3.8300000000000005
8500.0,2.5
9000.0,-0.3299999999999996
9500.0,-3.68
10000.0,-6.540000000000001
10600.0,-7.05
11200.0,-6.01
11800.0,-3.49
12500.0,-0.6200000000000001
13200.0,2.98
14000.0,5.05
15000.0,4.7
16000.0,5.45
17000.0,6.5
18000.0,6.650000000000001
19000.0,3.5199999999999996
20000.0,1.4999999999999982
